example_id,cell,video_tokens,reference_tokens,denoising_seconds,forward_cuda_seconds,peak_allocated_gib,resident_baseline_gib,incremental_peak_gib,peak_reserved_gib,device_peak_gib,transformer_load_seconds,decoder_seconds,execution_body_seconds_including_audits,config,vae_text_prepare_seconds_including_load,prepared_plus_execution_component_sum_seconds,dino_gt_cosine
long_001_nursery_manager,local,2304,0,2.7176773510873318,2.6546669616699217,35.97020483016968,35.38853597640991,0.5816688537597656,40.513671875,41.228515625,8.754479219205678,3.66562913171947,20.57727680914104,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_001_nursery_manager/local/config.json,13.777448231354356,34.354725040495396,0.6150591969490051
long_001_nursery_manager,native_full,15264,0,18.02297894190997,17.954822265625,39.01636743545532,35.39220190048218,3.6241655349731445,43.154296875,43.869140625,8.708147742785513,3.434736459515989,35.604306653141975,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_001_nursery_manager/native_full/config.json,16.44464909657836,52.048955749720335,0.6108132004737854
long_001_nursery_manager,full_reference,15408,13104,18.181214503012598,18.1135205078125,39.048930644989014,35.39244222640991,3.6564884185791016,43.1796875,43.89453125,8.836239289492369,3.61784063000232,36.10009187273681,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_001_nursery_manager/full_reference/config.json,17.080931710079312,53.181023582816124,0.6115107536315918
long_001_nursery_manager,oracle_sparse,3600,1296,3.8648530431091785,3.8028016357421874,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.657935529015958,3.7537410939112306,21.89453560486436,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_001_nursery_manager/oracle_sparse/config.json,17.080931710079312,38.97546731494367,0.3935926854610443
long_001_nursery_manager,uniform_sparse,3600,1296,3.8766699442639947,3.8131735534667968,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,10.774854511022568,3.7233693478628993,23.90695260744542,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_001_nursery_manager/uniform_sparse/config.json,17.080931710079312,40.98788431752473,0.6135163903236389
long_002_robot_head,local,2304,0,2.7266853051260114,2.6640404052734374,35.97020483016968,35.38853597640991,0.5816688537597656,40.513671875,41.228515625,10.786384611390531,3.804094908758998,22.897690134122968,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_002_robot_head/local/config.json,15.288336702622473,38.18602683674544,
long_002_robot_head,native_full,15264,0,18.046348256990314,17.976531982421875,39.01636743545532,35.39220190048218,3.6241655349731445,43.154296875,43.869140625,8.78218626882881,4.254640638828278,36.566576526500285,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_002_robot_head/native_full/config.json,17.964551012031734,54.53112753853202,
long_002_robot_head,full_reference,15408,13104,18.19873923342675,18.12455029296875,39.048930644989014,35.39244222640991,3.6564884185791016,43.1796875,43.89453125,8.810205823741853,3.799138546921313,36.29455062188208,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_002_robot_head/full_reference/config.json,18.596637655049562,54.89118827693164,
long_002_robot_head,oracle_sparse,3600,1296,3.870123401284218,3.804090484619141,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.685596198774874,3.9627183629199862,21.95731744915247,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_002_robot_head/oracle_sparse/config.json,18.596637655049562,40.55395510420203,
long_002_robot_head,uniform_sparse,3600,1296,3.867617417126894,3.802499237060547,36.276188373565674,35.38884496688843,0.8873434066772461,40.607421875,41.322265625,8.670657604001462,3.7954021487385035,21.788085292093456,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_002_robot_head/uniform_sparse/config.json,18.596637655049562,40.38472294714302,
long_003_student_return,local,2304,0,2.718714685179293,2.6573583068847655,35.97020483016968,35.38853597640991,0.5816688537597656,40.513671875,41.228515625,8.692889787256718,3.7711783526465297,20.632520919665694,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_003_student_return/local/config.json,13.776003452949226,34.40852437261492,0.35344621539115906
long_003_student_return,native_full,15264,0,18.034853025339544,17.966435302734375,39.01636743545532,35.39220190048218,3.6241655349731445,43.154296875,43.869140625,8.710945382714272,3.650377534329891,35.87327809538692,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/long_input/seed42/long_003_student_return/native_full/config.json,16.469594764523208,52.34287285991013,0.335237592458725
