example_id,title_ko,mode,seed,reference_kind,reference_position,reused,reference_tokens,source_dependency_gap_seconds,dino_gt_cosine,dino_gt_cosine_after_1s,adjacent_pixel_mae_0_255,generation_seconds_including_load,peak_gpu_allocated_gib
five_001_nursery_manager,보육원 관리자 재등장,local,42,none,none,True,0,79.06326666666666,0.2008225917816162,0.21654200553894043,2.5951247215270996,22.22067579254508,39.14397954940796
five_001_nursery_manager,보육원 관리자 재등장,image_past,42,image,past,True,144,79.06326666666666,0.39150699973106384,0.434749960899353,2.073456048965454,19.75647732336074,39.14397954940796
five_001_nursery_manager,보육원 관리자 재등장,image_target,42,image,target,False,144,79.06326666666666,0.45472288131713867,0.47908276319503784,1.4382833242416382,20.9629321154207,39.144322872161865
five_001_nursery_manager,보육원 관리자 재등장,video_past,42,video,past,False,1440,79.06326666666666,0.4192763864994049,0.4732188582420349,1.6639324426651,22.06398398708552,39.144322872161865
five_001_nursery_manager,보육원 관리자 재등장,video_target,42,video,target,False,1440,79.06326666666666,0.5149630308151245,0.5190179347991943,1.0741020441055298,21.480989539064467,39.144322872161865
five_002_robot_head,로봇 모형의 가려졌던 머리,local,42,none,none,True,0,217.63430096763432,0.8735718131065369,0.8635478019714355,1.9209134578704834,22.655203103087842,39.14397954940796
five_002_robot_head,로봇 모형의 가려졌던 머리,image_past,42,image,past,True,144,217.63430096763432,0.8677577972412109,0.852974534034729,2.019041061401367,23.198293638415635,39.14397954940796
five_002_robot_head,로봇 모형의 가려졌던 머리,image_target,42,image,target,False,144,217.63430096763432,0.8250848650932312,0.8500117659568787,3.4043986797332764,21.113765546120703,39.144322872161865
five_002_robot_head,로봇 모형의 가려졌던 머리,video_past,42,video,past,False,1440,217.63430096763432,0.8769631385803223,0.870339035987854,1.7034568786621094,22.225335421971977,39.144322872161865
five_002_robot_head,로봇 모형의 가려졌던 머리,video_target,42,video,target,False,1440,217.63430096763432,0.7724403738975525,0.7746219635009766,7.164170742034912,23.496540050022304,39.144322872161865
five_003_student_return,교실 학생의 얼굴 재등장,local,42,none,none,True,0,14.583333333333329,0.3772127628326416,0.3644559383392334,1.132595419883728,20.709113482385874,39.14397954940796
five_003_student_return,교실 학생의 얼굴 재등장,image_past,42,image,past,True,144,14.583333333333329,0.356964111328125,0.34062400460243225,1.0968579053878784,20.665521880611777,39.14397954940796
five_003_student_return,교실 학생의 얼굴 재등장,image_target,42,image,target,False,144,14.583333333333329,0.6916167736053467,0.6357148885726929,0.3783299922943115,22.748121551238,39.144322872161865
five_003_student_return,교실 학생의 얼굴 재등장,video_past,42,video,past,False,1440,14.583333333333329,0.3951418697834015,0.3743489980697632,0.6526737213134766,24.220279096625745,39.144322872161865
five_003_student_return,교실 학생의 얼굴 재등장,video_target,42,video,target,False,1440,14.583333333333329,0.6495786309242249,0.6314665079116821,1.0411912202835083,21.69803089555353,39.144322872161865
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,local,42,none,none,True,0,167.0,0.24982132017612457,0.1179056242108345,9.301119804382324,20.828215522691607,39.14397954940796
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,image_past,42,image,past,True,144,167.0,0.24221740663051605,0.11260911077260971,9.097624778747559,20.97823541611433,39.14397954940796
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,image_target,42,image,target,False,144,167.0,0.646795928478241,0.7885883450508118,8.661712646484375,20.915243218652904,39.144322872161865
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,video_past,42,video,past,False,1440,167.0,0.24342302978038788,0.11025656759738922,9.023804664611816,22.104449359700084,39.144322872161865
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,video_target,42,video,target,False,1440,167.0,0.6376550793647766,0.78030925989151,6.913612365722656,22.22714406158775,39.144322872161865
five_005_conservator,보존 작업자의 얼굴 재등장,local,42,none,none,True,0,61.96666666666667,0.38563868403434753,0.5367565155029297,3.3296470642089844,22.53483202494681,39.14397954940796
five_005_conservator,보존 작업자의 얼굴 재등장,image_past,42,image,past,True,144,61.96666666666667,0.2920973002910614,0.3945522904396057,2.168181896209717,20.97984302416444,39.14397954940796
five_005_conservator,보존 작업자의 얼굴 재등장,image_target,42,image,target,False,144,61.96666666666667,0.3715907037258148,0.3722435235977173,0.5062510371208191,22.717264340259135,39.144322872161865
five_005_conservator,보존 작업자의 얼굴 재등장,video_past,42,video,past,False,1440,61.96666666666667,0.3065052330493927,0.41660696268081665,2.202131748199463,22.031008671969175,39.144322872161865
five_005_conservator,보존 작업자의 얼굴 재등장,video_target,42,video,target,False,1440,61.96666666666667,0.2291271835565567,0.2886718511581421,1.9308817386627197,21.89578321762383,39.144322872161865
