example_id,title_ko,variant,cell,seed,reused,reference_tokens,source_dependency_gap_seconds,dino_gt_cosine,dino_gt_cosine_after_1s,dino_oracle_image_cosine,dino_oracle_video_max_cosine,adjacent_pixel_mae_0_255,generation_seconds_including_load,peak_gpu_allocated_gib,config_path
five_002_robot_head,로봇 모형의 가려졌던 머리,P2,local,42,False,0,217.63430096763432,0.8740513324737549,0.8794491291046143,0.7652084231376648,0.8811631202697754,0.619968593120575,20.231116506271064,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_002_robot_head/prompt_control_seed42/P2/local/config.json
five_002_robot_head,로봇 모형의 가려졌던 머리,P2,image_past,42,False,144,217.63430096763432,0.8752245903015137,0.8829555511474609,0.7647483348846436,0.8769813179969788,0.6429993510246277,20.468126677908003,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_002_robot_head/prompt_control_seed42/P2/image_past/config.json
five_002_robot_head,로봇 모형의 가려졌던 머리,P2,video_past,42,False,1440,217.63430096763432,0.8846309185028076,0.8798984885215759,0.7751958966255188,0.891751229763031,1.739892601966858,24.359984308481216,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_002_robot_head/prompt_control_seed42/P2/video_past/config.json
five_002_robot_head,로봇 모형의 가려졌던 머리,P3,local,42,False,0,217.63430096763432,0.86112380027771,0.8646201491355896,0.7666024565696716,0.8707971572875977,0.6015406847000122,20.65644560754299,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_002_robot_head/prompt_control_seed42/P3/local/config.json
five_002_robot_head,로봇 모형의 가려졌던 머리,P3,image_past,42,False,144,217.63430096763432,0.863806962966919,0.8674883842468262,0.7678957581520081,0.8793160319328308,0.5805947184562683,20.54887240100652,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_002_robot_head/prompt_control_seed42/P3/image_past/config.json
five_002_robot_head,로봇 모형의 가려졌던 머리,P3,video_past,42,False,1440,217.63430096763432,0.8878956437110901,0.8874463438987732,0.7741066813468933,0.8896772265434265,2.0267083644866943,24.705442763864994,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_002_robot_head/prompt_control_seed42/P3/video_past/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P0,local,42,True,0,14.583333333333329,0.3772127628326416,0.3644559383392334,0.356643944978714,0.3857717216014862,1.132595419883728,20.709113482385874,39.14397954940796,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/image_past_seed42/local/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P0,image_past,42,True,144,14.583333333333329,0.356964111328125,0.34062400460243225,0.34423017501831055,0.36999884247779846,1.0968579053878784,20.665521880611777,39.14397954940796,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/image_past_seed42/oracle/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P0,video_past,42,True,1440,14.583333333333329,0.3951418697834015,0.3743489980697632,0.4400081932544708,0.461269348859787,0.6526737213134766,24.220279096625745,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/reference_grid_seed42/video_past/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P1,local,42,False,0,14.583333333333329,0.3805084228515625,0.37028878927230835,0.38445770740509033,0.40979254245758057,0.6443663835525513,20.528270865790546,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P1/local/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P1,image_past,42,False,144,14.583333333333329,0.40320563316345215,0.40079283714294434,0.41350409388542175,0.4386700391769409,0.574347198009491,20.55364927649498,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P1/image_past/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P1,video_past,42,False,1440,14.583333333333329,0.4061206579208374,0.4010767638683319,0.40822744369506836,0.43525826930999756,0.6257925629615784,24.38784551434219,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P1/video_past/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P2,local,42,False,0,14.583333333333329,0.3914291560649872,0.37955141067504883,0.39125773310661316,0.4195398986339569,0.5947241187095642,20.27143058925867,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P2/local/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P2,image_past,42,False,144,14.583333333333329,0.405183345079422,0.4033314883708954,0.4126822054386139,0.4386850893497467,0.5602025985717773,20.47134311310947,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P2/image_past/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P2,video_past,42,False,1440,14.583333333333329,0.4026000201702118,0.3984275758266449,0.3976164758205414,0.424376517534256,0.6138444542884827,24.11590022407472,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P2/video_past/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P3,local,42,False,0,14.583333333333329,0.3622928559780121,0.3375444710254669,0.3480032980442047,0.37360572814941406,1.0169473886489868,20.210974698886275,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P3/local/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P3,image_past,42,False,144,14.583333333333329,0.38996824622154236,0.3804895281791687,0.40431252121925354,0.42880570888519287,0.6228155493736267,20.414118490181863,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P3/image_past/config.json
five_003_student_return,교실 학생의 얼굴 재등장,P3,video_past,42,False,1440,14.583333333333329,0.4001263380050659,0.383783757686615,0.4251221716403961,0.4472258985042572,0.6085346937179565,23.92546523734927,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_003_student_return/prompt_control_seed42/P3/video_past/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P0,local,42,True,0,167.0,0.24982132017612457,0.1179056242108345,0.038294751197099686,0.05074687674641609,9.301119804382324,20.828215522691607,39.14397954940796,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/image_past_seed42/local/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P0,image_past,42,True,144,167.0,0.24221740663051605,0.11260911077260971,0.03558972105383873,0.0482899434864521,9.097624778747559,20.97823541611433,39.14397954940796,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/image_past_seed42/oracle/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P0,video_past,42,True,1440,167.0,0.24342302978038788,0.11025656759738922,0.04080527275800705,0.052757129073143005,9.023804664611816,22.104449359700084,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/reference_grid_seed42/video_past/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P1,local,42,False,0,167.0,0.24971537292003632,0.11968289315700531,0.04032605513930321,0.05330924317240715,8.180814743041992,20.74169814772904,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P1/local/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P1,image_past,42,False,144,167.0,0.24540720880031586,0.11058130860328674,0.03919777646660805,0.05271429941058159,8.500754356384277,20.986604554578662,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P1/image_past/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P1,video_past,42,False,1440,167.0,0.25244614481925964,0.11907421797513962,0.03961675241589546,0.05295735225081444,8.622681617736816,22.614119433797896,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P1/video_past/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P2,local,42,False,0,167.0,0.24705661833286285,0.11519867926836014,0.04090779647231102,0.054155126214027405,8.117779731750488,22.891407411545515,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P2/local/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P2,image_past,42,False,144,167.0,0.2440568208694458,0.10530208796262741,0.03995174914598465,0.05277372896671295,8.088540077209473,20.616543650627136,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P2/image_past/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P2,video_past,42,False,1440,167.0,0.771531343460083,0.793307363986969,0.8106856942176819,0.8282768130302429,3.7800185680389404,22.29384750314057,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P2/video_past/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P3,local,42,False,0,167.0,0.24718163907527924,0.11594852805137634,0.03666337952017784,0.05049673095345497,8.256397247314453,20.384757028892636,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P3/local/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P3,image_past,42,False,144,167.0,0.24987493455410004,0.12359258532524109,0.03590971231460571,0.04780632257461548,8.185437202453613,23.20839382521808,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P3/image_past/config.json
five_004_van_exterior,캠퍼 밴 외관으로 시점 전환,P3,video_past,42,False,1440,167.0,0.799419105052948,0.809845507144928,0.7803947925567627,0.8017842173576355,4.391475677490234,21.840635334141552,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_004_van_exterior/prompt_control_seed42/P3/video_past/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P0,local,42,True,0,61.96666666666667,0.38563868403434753,0.5367565155029297,0.30069079995155334,0.36426472663879395,3.3296470642089844,22.53483202494681,39.14397954940796,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/image_past_seed42/local/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P0,image_past,42,True,144,61.96666666666667,0.2920973002910614,0.3945522904396057,0.5383611917495728,0.5947256088256836,2.168181896209717,20.97984302416444,39.14397954940796,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/image_past_seed42/oracle/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P0,video_past,42,True,1440,61.96666666666667,0.3065052330493927,0.41660696268081665,0.5025132894515991,0.5567721724510193,2.202131748199463,22.031008671969175,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/reference_grid_seed42/video_past/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P1,local,42,False,0,61.96666666666667,0.4197566509246826,0.5765401721000671,0.3931112587451935,0.46951231360435486,3.338324785232544,20.402181580662727,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P1/local/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P1,image_past,42,False,144,61.96666666666667,0.43477097153663635,0.5529597997665405,0.3466181755065918,0.40307721495628357,2.8049869537353516,22.852293216623366,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P1/image_past/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P1,video_past,42,False,1440,61.96666666666667,0.413225919008255,0.5630999803543091,0.3411741554737091,0.4249062240123749,2.380357027053833,21.811286121606827,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P1/video_past/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P2,local,42,False,0,61.96666666666667,0.5033743977546692,0.5731830596923828,0.44502338767051697,0.49388614296913147,2.673069953918457,22.611807852983475,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P2/local/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P2,image_past,42,False,144,61.96666666666667,0.39379677176475525,0.48348262906074524,0.32250162959098816,0.3830857574939728,2.5714142322540283,20.83482636511326,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P2/image_past/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P2,video_past,42,False,1440,61.96666666666667,0.4221002161502838,0.5849971175193787,0.32480689883232117,0.40981411933898926,2.5151379108428955,21.518816181458533,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P2/video_past/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P3,local,42,False,0,61.96666666666667,0.42601266503334045,0.5111742615699768,0.42434653639793396,0.4919181764125824,3.2140369415283203,22.11200938746333,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P3/local/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P3,image_past,42,False,144,61.96666666666667,0.3646415174007416,0.40391573309898376,0.34874477982521057,0.4256117641925812,3.6507627964019775,23.25853099208325,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P3/image_past/config.json
five_005_conservator,보존 작업자의 얼굴 재등장,P3,video_past,42,False,1440,61.96666666666667,0.3949606418609619,0.5091934204101562,0.34595897793769836,0.4012175500392914,2.3171608448028564,22.271210441365838,39.144322872161865,/mnt/minu/minseok/LTX-2/longcond/feasibility_long_context/outputs/five_005_conservator/prompt_control_seed42/P3/video_past/config.json
