case,name,seed,reference_tokens,reference_time_layout,reused,dino_gt_cosine,dino_gt_cosine_after_1s,adjacent_pixel_mae_0_255
A,image_single,42,144,same,True,0.7725699543952942,0.9207797050476074,1.9050177335739136
B,repeat_same,42,1440,same,False,0.03445374593138695,0.025604253634810448,4.396816253662109
C,repeat_spread,42,1440,spread,False,0.0381944477558136,0.03600439801812172,3.4490649700164795
D,video_same,42,1440,same,False,0.03737587854266167,0.030401455238461494,5.371242046356201
E,video_spread,42,1440,spread,True,0.03916202113032341,0.034364450722932816,3.5075323581695557
