case,name,seed,reference_tokens,reference_time_layout,repeats,reused,dino_gt_cosine,dino_gt_cosine_after_1s,adjacent_pixel_mae_0_255
N1,repeat_1,42,144,same,1,True,0.7725699543952942,0.9207797050476074,1.9050177335739136
N2,repeat_2,42,288,same,2,False,0.7404122948646545,0.9238390326499939,1.3632359504699707
N4,repeat_4,42,576,same,4,False,0.6726424098014832,0.9200878739356995,1.7133744955062866
N10,repeat_10,42,1440,same,10,True,0.03445374593138695,0.025604253634810448,4.396816253662109
